	AC	AL	DE	DR	EN	GS	ID	LENG	NC	TC
TIGR03338	TIGR03338	muscle	phosphonate utilization associated transcriptional regulator	NA	phosphonate utilization associated transcriptional regulator	NA	phnR_burk	212	242.05 242.05	271.50 271.50
TIGR02511	TIGR02511	clustalw_manual	type III secretion effector delivery regulator, TyeA family	NA	type III secretion effector delivery regulator, TyeA family	NA	type_III_tyeA	82	25.60 25.60	25.90 25.90
TIGR01855	TIGR01855	clustalw_manual	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit	HAMAP; MF_00278; 217 of 217	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit	hisH	IMP_synth_hisH	198	84.35 84.35	105.40 105.40
TIGR02359	TIGR02359	clustalw	thiW protein	NA	thiW protein	thiW	thiW	160	33.75 33.75	84.35 84.35
TIGR01219	TIGR01219	clustalw_manual	phosphomevalonate kinase	NA	phosphomevalonate kinase, ERG8-type, eukaryotic branch.	NA	Pmev_kin_ERG8	456	102.80 102.80	376.95 376.95
TIGR03051	TIGR03051	muscle_manual	photosystem I reaction center subunit V	NA	photosystem I reaction center subunit V, chloroplast	psaG	PS_I_psaG_plant	89	31.50 31.50	104.55 104.55
TIGR02817	TIGR02817	clustalw_manual	zinc-binding alcohol dehydrogenase family protein	COGS; COG0604; NADPH:quinone reductase and related Zn-dependent oxidoreductases	zinc-binding alcohol dehydrogenase family protein	NA	adh_fam_1	336	222.75 222.75	284.05 284.05
TIGR01161	TIGR01161	clustalw	phosphoribosylaminoimidazole carboxylase, ATPase subunit	ECOCYC; EG10796; purK	phosphoribosylaminoimidazole carboxylase, PurK protein	purK	purK	362	197.10 197.10	318.40 318.40
TIGR00118	TIGR00118	clustalw	acetolactate synthase, large subunit, biosynthetic type	OUTGROUP; SP:P30146; glyoxylate carboligase; E. coli	acetolactate synthase, large subunit, biosynthetic type	ilvB	acolac_lg	557	489.00 489.00	538.35 538.35
TIGR03885	TIGR03885	muscle_manual	probable non-F420 flavinoid oxidoreductase	NA	probable non-F420 flavinoid oxidoreductase	NA	flavin_revert	315	369.35 369.35	398.70 398.70
TIGR00946	TIGR00946	clustalw_manual	auxin efflux carrier	NA	he Auxin Efflux Carrier (AEC) Family	NA	2a69	336	141.85 141.85	246.05 246.05
TIGR04270	TIGR04270	muscle_manual	methylamine methyltransferase corrinoid protein reductive activase	NA	methylamine methyltransferase corrinoid protein reductive activase	NA	Rama_corrin_act	534	200.00 200.00	500.00 500.00
TIGR03129	TIGR03129	muscle	formylmethanofuran dehydrogenase subunit B	NA	formylmethanofuran dehydrogenase subunit B	NA	one_C_dehyd_B	421	145.25 145.25	327.80 327.80
TIGR03946	TIGR03946	muscle	arginine beta-hydroxylase, Fe(II)/alpha-ketoglutarate-dependent	NA	arginine beta-hydroxylase, Fe(II)/alpha-ketoglutarate-dependent	vioC	viomycin_VioC	333	216.15 216.15	418.60 418.60
TIGR02560	TIGR02560	clustalw	type III secretion protein HrpB4	NA	type III secretion protein HrpB4	NA	HrpB4	220	108.60 108.60	167.45 167.45
TIGR02703	TIGR02703	clustalw	carboxysome peptide A	PFAM; PF03319; EutN_CcmL	carboxysome peptide A	NA	carboxysome_A	80	108.10 108.10	131.80 131.80
TIGR02543	TIGR02543	manual	repeat, TIGR02543 family	NA	Listeria/Bacterioides repeat	NA	List_Bact_rpt	44	17.40 17.40	20.95 20.95
TIGR03901	TIGR03901	muscle_manual	MYXO-CTERM domain	NA	MYXO-CTERM domain	NA	MYXO-CTERM	33	15.00 15.00	25.50 25.50
TIGR00037	TIGR00037	clustalw	translation elongation factor IF5A	HAMAP; MF_00085; 44 of 44	translation elongation factor IF5A	eif5A	eIF_5A	130	69.80 69.80	75.45 75.45
TIGR02687	TIGR02687	clustalw_manual	TIGR02687 family protein	NA	TIGR02687 family protein	NA	TIGR02687	844	268.35 268.35	270.35 270.35
TIGR00066	TIGR00066	clustalw_manual	gamma-glutamyltransferase	NA	gamma-glutamyltranspeptidase	ggt	g_glut_trans	518	182.70 182.70	357.85 357.85
TIGR00982	TIGR00982	clustalw	ribosomal protein S23 (S12)	HAMAP; MF_00403; 48 of 726	ribosomal protein S23 (S12)	NA	S23_S12_E_A	139	104.30 104.30	140.20 140.20
TIGR04093	TIGR04093	muscle_manual	CRISPR-associated endonuclease Cas1, subtype CYANO	NA	CRISPR-associated endonuclease Cas1, subtype CYANO	cas1	cas1_CYANO	334	340.00 340.00	385.00 385.00
TIGR03531	TIGR03531	muscle_manual	O-phosphoseryl-tRNA(Sec) selenium transferase	NA	O-phosphoseryl-tRNA(Sec) selenium transferase	spcS	selenium_SpcS	444	117.85 117.85	224.85 224.85
TIGR03834	TIGR03834	muscle_manual	EAGR box	NA	EAGR box	NA	EAGR_box	28	26.10 26.10	34.10 34.10
TIGR00058	TIGR00058	clustalw	hemerythrin family non-heme iron protein	PFAM; PF01814; Hemerythrin	hemerythrin family non-heme iron protein	NA	Hemerythrin	115	70.80 70.80	131.85 131.85
TIGR03785	TIGR03785	muscle_manual	proteobacterial dedicated sortase system histidine kinase	NA	proteobacterial dedicated sortase system histidine kinase	pdsS	marine_sort_HK	703	437.90 437.90	612.20 612.20
TIGR03144	TIGR03144	manual	cytochrome c-type biogenesis protein CcsB	HAMAP; MF_01391; 100 of 136	cytochrome c-type biogenesis protein CcsB	ccsB	cytochr_II_ccsB	252	138.75 138.75	187.60 187.60
TIGR00245	TIGR00245	clustalw	TIGR00245 family protein	Swissprot; P77307;	TIGR00245 family protein	NA	TIGR00245	248	87.75 87.75	164.80 164.80
TIGR02510	TIGR02510	clustalw	ribonucleoside-diphosphate reductase, alpha chain	NA	ribonucleoside-diphosphate reductase, alpha chain	NA	NrdE-prime	560	516.70 516.70	602.25 602.25
TIGR03073	TIGR03073	muscle_manual	release factor H-coupled RctB family protein	NA	release factor H-coupled RctB family protein	NA	release_rtcB	356	234.70 234.70	271.80 271.80
TIGR03473	TIGR03473	muscle	hopanoid biosynthesis associated protein HpnK	NA	hopanoid biosynthesis associated protein HpnK	hpnK	HpnK	283	190.85 190.85	232.60 232.60
TIGR03865	TIGR03865	muscle_manual	PQQ-dependent catabolism-associated CXXCW motif protein	NA	PQQ-dependent catabolism-associated CXXCW motif protein	NA	PQQ_CXXCW	167	66.65 66.65	128.05 128.05
TIGR01981	TIGR01981	unknown	FeS assembly protein SufD	NA	FeS assembly protein SufD	sufD	sufD	275	215.00 215.00	222.00 221.50
TIGR04211	TIGR04211	muscle_manual	SH3 domain protein	NA	SH3 domain protein	NA	SH3_and_anchor	198	60.00 45.00	65.00 65.00
TIGR01418	TIGR01418	clustalw	phosphoenolpyruvate synthase	EXPERIMENTAL; SP|P23538; Escherichia coli	phosphoenolpyruvate synthase	ppsA	PEP_synth	784	338.15 338.15	739.75 739.75
TIGR03103	TIGR03103	muscle	GNAT-family acetyltransferase TIGR03103	NA	GNAT-family acetyltransferase TIGR03103	NA	trio_acet_GNAT	547	306.30 306.30	569.00 569.00
TIGR00287	TIGR00287	clustalw	CRISPR-associated endonuclease Cas1	INTERPRO; IPR002729	CRISPR-associated endonuclease Cas1	cas1	cas1	327	66.00 66.00	71.70 71.70
TIGR01084	TIGR01084	clustalw	A/G-specific adenine glycosylase	NA	A/G-specific adenine glycosylase	mutY	mutY	277	179.95 179.95	286.50 286.50
TIGR02439	TIGR02439	clustalw	catechol 1,2-dioxygenase	NA	catechol 1,2-dioxygenase, proteobacterial	catA	catechol_proteo	285	192.45 192.45	392.00 392.00
TIGR00397	TIGR00397	clustalw	MauM/NapG family ferredoxin-type protein	SWISSPROT; Q51659;	MauM/NapG family ferredoxin-type protein	NA	mauM_napG	213	83.15 83.15	178.85 178.85
TIGR01754	TIGR01754	clustalw	putative ribonucleotide reductase-associated flavodoxin	NA	ribonucleotide reductase-associated flavodoxin, putative	NA	flav_RNR	140	81.50 81.50	163.80 163.80
TIGR02015	TIGR02015	clustalw	chlorophyllide reductase subunit Y	NA	chlorophyllide reductase subunit Y	bchY	BchY	422	250.15 250.15	425.15 425.15
TIGR01327	TIGR01327	clustalw_manual	phosphoglycerate dehydrogenase	COGS; COG0111	D-3-phosphoglycerate dehydrogenase	serA	PGDH	525	268.10 268.10	454.00 454.00
TIGR01404	TIGR01404	clustalw_manual	type III secretion protein, YscU/HrpY family	NA	type III secretion protein, YscU/HrpY family	NA	FlhB_rel_III	342	312.70 312.70	326.80 326.80
TIGR01176	TIGR01176	clustalw	fumarate reductase, flavoprotein subunit	NA	fumarate reductase, flavoprotein subunit	frdA	fum_red_Fp	580	847.05 847.05	932.70 932.70
TIGR02583	TIGR02583	clustalw	CRISPR-associated protein Cas7/Csa2, subtype I-A/APERN	URL	CRISPR-associated protein Cas7/Csa2, subtype I-A/APERN	cas7	DevR_archaea	284	107.40 107.40	212.60 212.60
TIGR03476	TIGR03476	muscle	putative membrane protein	NA	putative membrane protein	NA	HpnL	318	167.00 167.00	195.65 195.65
TIGR03710	TIGR03710	muscle	2-oxoacid:acceptor oxidoreductase, alpha subunit	NA	2-oxoacid:acceptor oxidoreductase, alpha subunit	NA	OAFO_sf	561	459.15 459.15	482.75 482.75
TIGR00234	TIGR00234	clustalw	tyrosine--tRNA ligase	HAMAP; MF_02009; 15 of 17	tyrosyl-tRNA synthetase	tyrS	tyrS	406	82.25 82.25	113.80 113.80
TIGR00667	TIGR00667	clustalw	leucyl/phenylalanyl-tRNA--protein transferase	HAMAP; MF_00688; 213 of 216	leucyl/phenylalanyl-tRNA--protein transferase	aat	aat	193	66.55 66.55	143.55 143.55
TIGR01782	TIGR01782	clustalw	TonB-dependent receptor	NA	TonB-dependent receptor	NA	TonB-Xanth-Caul	868	123.00 123.00	310.00 310.00
TIGR00275	TIGR00275	clustalw	flavoprotein, HI0933 family	SwissProt; P37631;	flavoprotein, HI0933 family	NA	TIGR00275	401	130.60 130.60	183.80 183.80
TIGR01532	TIGR01532	clustalw	erythrose-4-phosphate dehydrogenase	HAMAP; MF_01640; 55 of 58	erythrose-4-phosphate dehydrogenase	epd	E4PD_g-proteo	325	455.25 455.25	530.55 530.55
TIGR01707	TIGR01707	clustalw_manual	type II secretion system protein I	NA	type II secretion system protein I	gspI	gspI	101	34.00 34.00	44.35 44.35
TIGR03631	TIGR03631	muscle_manual	30S ribosomal protein S13	NA	30S ribosomal protein S13	rpsM	bact_S13	113	88.35 88.35	130.45 130.45
TIGR00257	TIGR00257	clustalw	uncharacterized protein, YigZ family	NA	uncharacterized protein, YigZ family	NA	IMPACT_YIGZ	205	117.35 117.35	167.95 167.95
TIGR01389	TIGR01389	clustalw_manual	ATP-dependent DNA helicase RecQ	NA	ATP-dependent DNA helicase RecQ	recQ	recQ	591	533.15 533.15	640.20 640.20
TIGR04279	TIGR04279	muscle_manual	TIGR04279 domain	NA	TIGR04279 methanogen extracellular domain	NA	TIGR04279	316	20.00 20.00	35.00 35.00
TIGR03365	TIGR03365	muscle	7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE	NA	7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE	queE	Bsubt_queE	238	99.25 99.25	206.10 206.10
TIGR02331	TIGR02331	clustalw	Rib/alpha/Esp surface antigen repeat	NA	Rib/alpha/Esp surface antigen repeat	NA	rib_alpha	80	24.05 24.05	35.25 35.25
TIGR02894	TIGR02894	muscle	transcription factor, RsfA family	NA	transcription factor, RsfA family	NA	DNA_bind_RsfA	161	34.40 34.40	126.45 126.45
TIGR02430	TIGR02430	clustalw	3-oxoadipyl-CoA thiolase	NA	3-oxoadipyl-CoA thiolase	pcaF	pcaF	400	501.60 501.60	597.00 597.00
TIGR03259	TIGR03259	muscle	methyl-coenzyme M reductase, gamma subunit	NA	methyl-coenzyme M reductase, gamma subunit	mcrG	met_CoM_red_gam	244	171.60 171.60	172.10 172.10
TIGR01512	TIGR01512	clustalw	cadmium-translocating P-type ATPase	NA	heavy metal-(Cd/Co/Hg/Pb/Zn)-translocating P-type ATPase	cadA	ATPase-IB2_Cd	494	304.30 304.30	313.50 313.50
TIGR03064	TIGR03064	muscle_manual	sortase, SrtB family	NA	sortase, SrtB family	srtB	sortase_srtB	235	65.00 65.00	153.75 153.75
TIGR03973	TIGR03973	muscle_manual	six-cysteine peptide SCIFF	NA	six-cysteine peptide SCIFF	scfA	six_Cys_in_45	43	35.00 35.00	50.00 50.00
TIGR03378	TIGR03378	muscle_manual	glycerol-3-phosphate dehydrogenase, anaerobic, B subunit	HAMAP; MF_00753; 45 of 46	glycerol-3-phosphate dehydrogenase, anaerobic, B subunit	glpB	glycerol3P_GlpB	419	113.60 113.60	174.15 174.15
TIGR00648	TIGR00648	NA	recombination protein U	HAMAP; MF_00130; 78 of 80	recombination protein U	recU	recU	169	34.95 34.95	176.75 176.75
TIGR00858	TIGR00858	clustalw_manual	8-amino-7-oxononanoate synthase	NA	8-amino-7-oxononanoate synthase	bioF	bioF	365	324.95 324.95	426.45 426.45
TIGR03290	TIGR03290	muscle	CoB--CoM heterodisulfide reductase, subunit C	NA	CoB--CoM heterodisulfide reductase, subunit C	hdrC	CoB_CoM_SS_C	144	125.00 125.00	160.00 160.00
TIGR02391	TIGR02391	clustalw	TIGR02391 family protein	NA	TIGR02391 family protein	NA	hypoth_ymh	125	35.50 35.50	39.45 39.45
TIGR02688	TIGR02688	clustalw_manual	TIGR02688 family protein	NA	TIGR02688 family protein	NA	TIGR02688	449	113.30 113.30	329.30 329.30
TIGR02019	TIGR02019	clustalw	bacteriochlorophyll 4-vinyl reductase	NA	bacteriochlorophyll 4-vinyl reductase	bchJ	BchJ	188	28.80 28.80	74.30 74.30
TIGR03469	TIGR03469	muscle	hopene-associated glycosyltransferase HpnB	NA	hopene-associated glycosyltransferase HpnB	hpnB	HpnB	386	242.40 242.40	379.25 379.25
TIGR02231	TIGR02231	clustalw	conserved hypothetical protein	NA	conserved hypothetical protein	NA	TIGR02231	524	82.00 82.00	112.60 112.60
TIGR03001	TIGR03001	muscle	RNA polymerase sigma-70 factor, Myxococcales family 1	NA	RNA polymerase sigma-70 factor, Myxococcales family 1	NA	Sig-70_gmx1	244	76.80 76.80	154.60 154.60
TIGR02503	TIGR02503	clustalw_manual	type III secretion chaperone SycN	NA	type III secretion chaperone SycN	sycN	type_III_SycN	120	37.05 37.05	84.55 84.55
TIGR03995	TIGR03995	muscle_manual	putative rSAM target protein, CGCGG family	NA	putative rSAM target protein, CGCGG family	NA	target_X_rSAM	84	81.20 81.20	87.60 87.60
TIGR02552	TIGR02552	clustalw	type III secretion low calcium response chaperone LcrH/SycD	NA	type III secretion low calcium response chaperone LcrH/SycD	NA	LcrH_SycD	136	89.40 89.40	104.80 104.80
TIGR00411	TIGR00411	NA	redox-active disulfide protein 1	NA	small redox-active disulfide protein 1	NA	redox_disulf_1	82	64.70 64.70	92.75 92.75
TIGR04311	TIGR04311	muscle_manual	putative metalloenzyme radical SAM/SPASM domain maturase	NA	putative metalloenzyme radical SAM/SPASM domain maturase	NA	rSAM_Geo_metal	423	300.00 300.00	400.00 400.00
TIGR02115	TIGR02115	clustalw	K+-transporting ATPase, F subunit	NA	K+-transporting ATPase, KdpF subunit	kdpF	potass_kdpF	24	20.55 20.55	26.85 26.85
TIGR00569	TIGR00569	NA	cyclin ccl1	SWISSPROT; P37366;	cyclin ccl1	NA	ccl1	305	103.90 103.90	250.35 250.35
TIGR02831	TIGR02831	muscle_manual	stage II sporulation protein M	NA	stage II sporulation protein M	spoIIM	spo_II_M	200	65.90 65.90	100.20 100.20
TIGR02809	TIGR02809	clustalw_manual	phasin family protein	NA	phasin family protein	NA	phasin_3	110	29.60 29.60	65.85 65.85
TIGR03250	TIGR03250	manual	putative phosphonoacetaldehyde dehydrogenase	NA	putative phosphonoacetaldehyde dehydrogenase	phnY	PhnAcAld_DH	472	457.95 457.95	635.65 635.65
TIGR02766	TIGR02766	clustalw	cryptochrome, plant family	NA	cryptochrome, plant family	NA	crypt_chrom_pln	480	596.60 596.60	603.85 603.85
TIGR04349	TIGR04349	muscle_manual	putative 7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE	NA	putative 7-cyano-7-deazaguanosine (preQ0) biosynthesis protein QueE, gammaproteobacterial type	NA	rSAM_QueE_gams	210	295.00 295.00	300.00 300.00
TIGR01324	TIGR01324	clustalw_manual	cystathionine beta-lyase	PROSITE; PDOC00677; Cys/Met metabolism enzymes pyridoxal-phosphate attachment site	cystathionine beta-lyase, bacterial	metC	cysta_beta_ly_B	377	282.90 282.90	365.90 365.90
TIGR03709	TIGR03709	muscle_manual	polyphosphate:nucleotide phosphotransferase, PPK2 family	NA	polyphosphate:nucleotide phosphotransferase, PPK2 family	NA	PPK2_rel_1	264	240.85 240.85	247.20 247.20
TIGR02985	TIGR02985	muscle	RNA polymerase sigma-70 factor, Bacteroides expansion family 1	NA	RNA polymerase sigma-70 factor, Bacteroides expansion family 1	NA	Sig70_bacteroi1	162	114.80 114.80	126.40 126.40
TIGR00916	TIGR00916	clustalw_manual	protein-export membrane protein, SecD/SecF family	PFAM; PF02355	protein-export membrane protein, SecD/SecF family	NA	2A0604s01	231	127.75 127.75	148.60 148.60
TIGR02975	TIGR02975	muscle	phage shock protein G	NA	phage shock protein G	pspG	phageshock_pspG	64	34.10 34.10	53.70 53.70
TIGR02997	TIGR02997	muscle	RNA polymerase sigma factor, cyanobacterial RpoD-like family	NA	RNA polymerase sigma factor, cyanobacterial RpoD-like family	NA	Sig70-cyanoRpoD	298	361.85 361.85	384.50 384.50
TIGR02230	TIGR02230	clustalw	putative F0F1-ATPase subunit	NA	F0F1-ATPase subunit, putative	NA	ATPase_gene1	100	31.40 31.40	46.70 46.70
TIGR03505	TIGR03505	muscle_manual	FimV N-terminal domain	NA	FimV N-terminal domain	fimV	FimV_core	74	42.30 42.30	43.45 43.45
TIGR00934	TIGR00934	clustalw	potassium uptake protein, Trk family	PFAM; PF02386	potassium uptake protein, Trk family	NA	2a38euk	836	314.60 314.60	441.90 441.90
TIGR00327	TIGR00327	clustalw	protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic	HAMAP; MF_00422; 25 of 26	protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic	NA	secE_euk_arch	61	34.50 34.50	36.20 36.20
TIGR03247	TIGR03247	muscle	glucarate dehydratase	NA	glucarate dehydratase	gudD	glucar-dehydr	441	626.05 626.05	828.70 828.70
TIGR00819	TIGR00819	clustalw_manual	AbgT transporter family	URL;	p-Aminobenzoyl-glutamate transporter family	ydaH	ydaH	521	241.15 241.15	753.55 753.55
TIGR00640	TIGR00640	NA	methylmalonyl-CoA mutase C-terminal domain	NA	methylmalonyl-CoA mutase C-terminal domain	NA	acid_CoA_mut_C	132	27.00 27.00	57.45 57.45
TIGR00024	TIGR00024	clustalw	putative phosphoesterase	NA	putative phosphoesterase, SbcD/Mre11-related	NA	SbcD_rel_arch	224	70.20 70.20	115.20 115.20
TIGR03422	TIGR03422	muscle_manual	frataxin	NA	frataxin	NA	mito_frataxin	100	80.90 80.90	94.00 94.00
TIGR03019	TIGR03019	muscle	FemAB-related protein, PEP-CTERM system-associated	PF02388; FemAB	FemAB-related protein, PEP-CTERM system-associated	NA	pepcterm_femAB	330	180.80 180.80	260.35 260.35
TIGR03496	TIGR03496	muscle	flagellar protein export ATPase FliI	PFAM; PF00006; ATP-synt_ab	flagellar protein export ATPase FliI	fliI	FliI_clade1	414	618.90 618.90	619.10 619.10
TIGR02709	TIGR02709	clustalw	branched-chain phosphotransacylase	NA	branched-chain phosphotransacylase	ptb	branched_ptb	271	271.40 271.40	475.15 475.15
TIGR02045	TIGR02045	clustalw	ADP-specific phosphofructokinase	HAMAP; MF_00561; 8 of 8	ADP-specific phosphofructokinase	pfkC	P_fruct_ADP	446	404.30 404.30	408.10 408.10
TIGR02701	TIGR02701	clustalw	carboxysome shell carbonic anhydrase	NA	carboxysome shell carbonic anhydrase	NA	shell_carb_anhy	450	235.30 235.30	241.05 241.05
TIGR03518	TIGR03518	muscle	gliding motility-associated ABC transporter permease protein GldF	NA	gliding motility-associated ABC transporter permease protein GldF	gldF	ABC_perm_GldF	240	252.50 252.50	288.50 288.50
TIGR00692	TIGR00692	clustalw	L-threonine 3-dehydrogenase	HAMAP; MF_00627; 117 of 127	L-threonine 3-dehydrogenase	tdh	tdh	340	348.75 348.75	458.35 458.35
TIGR02460	TIGR02460	clustalw	mannosyl-3-phosphoglycerate synthase	NA	mannosyl-3-phosphoglycerate synthase	mpgS	osmo_MPGsynth	383	132.00 132.00	351.20 351.20
TIGR02444	TIGR02444	clustalw	TIGR02444 family protein	NA	TIGR02444 family protein	NA	TIGR02444	116	29.75 29.75	48.30 48.30
TIGR02604	TIGR02604	clustalw_manual	putative membrane-bound dehydrogenase domain	NA	putative membrane-bound dehydrogenase domain	NA	Piru_Ver_Nterm	367	105.05 105.05	122.20 122.20
TIGR00656	TIGR00656	clustalw_manual	aspartate kinase, monofunctional class	OUTGROUP; EGAD|75283|81007; bifunctional, chloroplast	aspartate kinase, monofunctional class	NA	asp_kin_monofn	407	355.20 355.20	402.25 402.25
TIGR01137	TIGR01137	clustalw_manual	cystathionine beta-synthase	NA	cystathionine beta-synthase	NA	cysta_beta	457	356.90 356.90	510.25 510.25
TIGR00855	TIGR00855	clustalw_manual	ribosomal protein L7/L12	HAMAP; MF_00368; 518 of 530	ribosomal protein L7/L12	rplL	L12	125	55.00 55.00	84.40 84.40
TIGR00341	TIGR00341	clustalw	TIGR00341 family protein	NA	TIGR00341 family protein	NA	TIGR00341	325	92.30 92.30	94.75 94.75
TIGR01210	TIGR01210	clustalw	TIGR01210 family protein	COGS; COG1244	TIGR01210 family protein	NA	TIGR01210	313	46.45 46.45	212.15 212.15
TIGR03553	TIGR03553	muscle_manual	F420 biosynthesis protein FbiB, C-terminal domain	NA	F420 biosynthesis protein FbiB, C-terminal domain	fbiB	F420_FbiB_CTERM	194	77.75 77.75	249.55 249.55
TIGR02919	TIGR02919	muscle	accessory Sec system glycosyltransferase GtfB	NA	accessory Sec system glycosyltransferase GtfB	gtfB	TIGR02919	438	109.05 109.05	338.30 338.30
TIGR03686	TIGR03686	muscle_manual	proteasome accessory factor PafA	NA	proteasome accessory factor PafA	pafA	pupylate_PafA	457	429.85 429.85	551.30 551.30
TIGR03732	TIGR03732	muscle_manual	lantibiotic protection ABC transporter permease subunit, MutE/EpiE family	NA	lantibiotic protection ABC transporter permease subunit, MutE/EpiE family	NA	lanti_perm_MutE	241	98.40 98.40	145.20 145.20
TIGR02118	TIGR02118	clustalw	conserved hypothetical protein	NA	conserved hypothetical protein	NA	TIGR02118	103	30.30 30.30	30.50 30.50
TIGR00400	TIGR00400	clustalw	magnesium transporter	InterPro; IPR002665	Mg2+ transporter (mgtE)	mgtE	mgtE	450	179.75 179.75	232.75 232.75
TIGR04278	TIGR04278	muscle_manual	antiviral radical SAM protein viperin	NA	antiviral radical SAM protein viperin	NA	viperin	347	425.00 425.00	450.00 450.00
TIGR00166	TIGR00166	clustalw_manual	ribosomal protein S6	HAMAP; MF_00360; 488 of 502	ribosomal protein S6	rpsF	S6	95	20.50 20.50	42.90 42.90
TIGR03954	TIGR03954	muscle_manual	integral membrane protein	NA	integral membrane protein	NA	integ_memb_HG	85	32.85 32.85	33.25 33.25
TIGR01509	TIGR01509	clustalw_manual	HAD hydrolase, family IA, variant 3	HAMAP; MF_01681; 7 of 89	haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED	NA	HAD-SF-IA-v3	154	23.90 23.90	29.40 29.40
TIGR02291	TIGR02291	clustalw	alpha-L-glutamate ligase homolog	NA	alpha-L-glutamate ligase-related protein	NA	rimK_rel_E_lig	317	160.10 160.10	314.20 314.20
TIGR00335	TIGR00335	clustalw_manual	putative DNA primase, eukaryotic-type, small subunit	HAMAP; MF_00700; 32 of 38	DNA primase, eukaryotic-type, small subunit, putative	NA	primase_sml	324	81.10 81.10	143.50 143.50
TIGR03282	TIGR03282	muscle	putative methanogenesis marker 13 metalloprotein	NA	putative methanogenesis marker 13 metalloprotein	NA	methan_mark_13	352	263.90 263.90	268.40 268.40
TIGR03857	TIGR03857	muscle_manual	probable F420-dependent oxidoreductase, MSMEG_2249 family	NA	probable F420-dependent oxidoreductase, MSMEG_2249 family	NA	F420_MSMEG_2249	329	216.85 216.85	218.40 218.40
TIGR00651	TIGR00651	NA	phosphate acetyltransferase	SWISSPROT; P39184;	phosphate acetyltransferase	pta	pta	304	205.40 205.40	311.20 311.20
TIGR01384	TIGR01384	clustalw_manual	transcription factor S	EXPERIMENTAL; GP|6723838; Methanococcus thermolithotrophicus	transcription factor S, archaeal	NA	TFS_arch	101	56.50 56.50	64.75 64.75
TIGR03604	TIGR03604	muscle_manual	thiazole/oxazole-forming peptide maturase, SagD family component	NA	thiazole/oxazole-forming peptide maturase, SagD family component	NA	TOMM_cyclo_SagD	377	94.10 94.10	219.25 219.25
TIGR02928	TIGR02928	muscle	orc1/cdc6 family replication initiation protein	HAMAP; MF_01407; 50 of 50	orc1/cdc6 family replication initiation protein	NA	TIGR02928	366	175.55 175.55	181.30 181.30
TIGR02854	TIGR02854	muscle	sigma-E processing peptidase SpoIIGA	PFAM; PF03419; Peptidase_U4	sigma-E processing peptidase SpoIIGA	spoIIGA	spore_II_GA	293	74.50 74.50	209.55 209.55
TIGR01608	TIGR01608	clustalw	citrate lyase acyl carrier protein	HAMAP; MF_00805; 58 of 59	citrate lyase acyl carrier protein	citD	citD	94	35.05 35.05	63.50 63.50
TIGR00520	TIGR00520	clustalw_manual	L-asparaginase, type II	ECOCYC; EG10046; ansB	L-asparaginase, type II	NA	asnASE_II	352	211.35 211.35	314.30 314.30
TIGR01498	TIGR01498	clustalw_manual	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	INTERPRO; IPR000550	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK	folK	128	32.60 32.60	54.10 54.10
TIGR02492	TIGR02492	clustalw_manual	flagellar hook-associated protein FlgK	NA	flagellar hook-associated protein FlgK	flgK	flgK_ends	437	121.30 121.30	170.75 170.75
TIGR01714	TIGR01714	clustalw_manual	phage replisome organizer, putative, N-terminal region	NA	phage replisome organizer, putative, N-terminal region	NA	phage_rep_org_N	119	49.50 49.50	49.80 49.80
TIGR03379	TIGR03379	muscle_manual	glycerol-3-phosphate dehydrogenase, anaerobic, C subunit	NA	glycerol-3-phosphate dehydrogenase, anaerobic, C subunit	glpC	glycerol3P_GlpC	397	222.45 222.45	279.90 279.90
TIGR01887	TIGR01887	clustalw	putative dipeptidase	NA	dipeptidase, putative	NA	dipeptidaselike	447	192.05 192.05	207.95 207.95
TIGR02944	TIGR02944	muscle	FeS assembly SUF system regulator	NA	FeS assembly SUF system regulator, gammaproteobacterial	NA	suf_reg_Xantho	130	104.20 104.20	110.65 110.65
TIGR00938	TIGR00938	clustalw	homoserine kinase	HAMAP; MF_00301; 68 of 69	homoserine kinase, Neisseria type	thrB	thrB_alt	307	133.60 133.60	255.90 255.90
TIGR01386	TIGR01386	clustalw_manual	heavy metal sensor kinase	NA	heavy metal sensor kinase	NA	cztS_silS_copS	457	239.85 239.85	292.55 292.55
TIGR01688	TIGR01688	clustalw	D-alanine--poly(phosphoribitol) ligase, subunit 2	HAMAP; MF_00565; 74 of 74	D-alanine--poly(phosphoribitol) ligase, subunit 2	dltC	dltC	73	35.10 35.10	52.35 52.35
TIGR01481	TIGR01481	clustalw	catabolite control protein A	NA	catabolite control protein A	ccpA	ccpA	330	328.65 328.65	442.35 442.35
TIGR01141	TIGR01141	clustalw_manual	histidinol-phosphate transaminase	HAMAP; MF_01513; 17 of 24	histidinol-phosphate aminotransferase	hisC	hisC	349	200.85 200.85	276.55 276.55
